a_1,tc_1,Write Up on the Project,Write Up on the Project,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
a_2,tc_1,IPL Analysis,IPL Analysis,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
a_3,tc_4,Develop a game using CSS and Javascript,Develop a game using CSS and Javascript,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
a_4,tc_5,Solve these Math Questions,Solve these Math Questions,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
a_5,tc_6,Linear Algebra - Assignment I,Linear Algebra - Assignment I,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
a_6,tc_2,Compiler Design Report,Compiler Design Report,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
a_7,tc_7,Build A Flask Application,Build A Flask Application,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
a_8,tc_8,Write Short Notes,Write Short Notes,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
a_9,tc_3,Assignment I,Assignment I,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
a_10,tc_3,Assignment II,Assignment II,10,2019-07-01 12:12:12,2019-06-01 12:12:12,"[file1,file2,file3]"
